Sr.no,Date,Ticker,Adj Close,Close,High,Low,Open,Volume
0,06-04-2023,AAPL,163.7857666,164.6600037,164.9600067,162,162.4299927,45390100
1,06-04-2023,GOOG,108.9000015,108.9000015,109.6299973,104.8150024,105.7699966,34684200
2,06-04-2023,MSFT,289.2262268,291.6000061,292.0799866,282.0299988,283.2099915,29770300
3,06-04-2023,NFLX,339.3299866,339.3299866,340.480011,332.6300049,339.3399963,4660500
4,06-04-2023,TSLA,185.0599976,185.0599976,186.3899994,179.7400055,183.0800018,123857900
5,10-04-2023,AAPL,161.1697235,162.0299988,162.0299988,160.0800018,161.4199982,47716900
6,10-04-2023,GOOG,106.9499969,106.9499969,107.9700012,105.5999985,107.3899994,19741500
7,10-04-2023,MSFT,287.0342407,289.3900146,289.6000061,284.7099915,289.2099915,23103000
8,10-04-2023,NFLX,338.9899902,338.9899902,339.8800049,333.3599854,335.269989,2657900
9,10-04-2023,TSLA,184.5099945,184.5099945,185.1000061,176.1100006,179.9400024,142154600
10,11-04-2023,AAPL,159.9462585,160.8000031,162.3600006,160.5099945,162.3500061,47644200
11,11-04-2023,GOOG,106.1200027,106.1200027,107.2200012,105.2799988,106.9199982,18721300
12,11-04-2023,MSFT,280.5276184,282.8299866,285.980011,281.6400146,285.75,27276600
13,11-04-2023,NFLX,338.2099915,338.2099915,347.1400146,337.6400146,343.4500122,4044800
14,11-04-2023,TSLA,186.7899933,186.7899933,189.1900024,185.6499939,186.6900024,115770900
15,12-04-2023,AAPL,159.2499847,160.1000061,162.0599976,159.7799988,161.2200012,50133100
16,12-04-2023,GOOG,105.2200012,105.2200012,107.586998,104.9700012,107.3899994,22761600
17,12-04-2023,MSFT,281.182251,283.4899902,287.0100098,281.9599915,284.7900085,27403400
18,12-04-2023,NFLX,331.0299988,331.0299988,342.7999878,330.0400085,340.8099976,3965400
19,12-04-2023,TSLA,180.5399933,180.5399933,191.5800018,180.3099976,190.7400055,150256300
20,13-04-2023,AAPL,164.6809692,165.5599976,165.8000031,161.4199982,161.6300049,68445600
21,13-04-2023,GOOG,108.1900024,108.1900024,108.2649994,106.4400024,106.4700012,21650700
22,13-04-2023,MSFT,287.4805603,289.8399963,289.8999939,283.1700134,283.5899963,24222700
23,13-04-2023,NFLX,346.1900024,346.1900024,346.4299927,338.75,339.9899902,7406400
24,13-04-2023,TSLA,185.8999939,185.8999939,186.5,180.9400024,182.9600067,112933000
25,14-04-2023,AAPL,164.33284,165.2100067,166.3200073,163.8200073,164.5899963,49386500
26,14-04-2023,GOOG,109.4599991,109.4599991,109.5800018,107.5899963,107.6900024,20758700
27,14-04-2023,MSFT,283.8106995,286.1400146,288.480011,283.6900024,287,20987900
28,14-04-2023,NFLX,338.6300049,338.6300049,344.8500061,336.4100037,342.9400024,5350500
29,14-04-2023,TSLA,185,185,186.2799988,182.0099945,183.9499969,96438700
30,17-04-2023,AAPL,164.3527374,165.2299957,165.3899994,164.0299988,165.0899963,41516200
31,17-04-2023,GOOG,106.4199982,106.4199982,106.7099991,105.3199997,105.4300003,29043400
32,17-04-2023,MSFT,286.4490051,288.7999878,291.6000061,286.1600037,289.9299927,23836200
33,17-04-2023,NFLX,332.7200012,332.7200012,338.3900146,327.5,338,6136000
34,17-04-2023,TSLA,187.0399933,187.0399933,189.6900024,182.6900024,186.3200073,116662200
35,18-04-2023,AAPL,165.5861664,166.4700012,167.4100037,165.6499939,166.1000061,49923000
36,18-04-2023,GOOG,105.1200027,105.1200027,107.0500031,104.7799988,107,17641400
37,18-04-2023,MSFT,286.0224915,288.3699951,291.7600098,287.0100098,291.5700073,20161800
38,18-04-2023,NFLX,333.7000122,333.7000122,337.1900024,330.5,335,17944500
39,18-04-2023,TSLA,184.3099976,184.3099976,187.6900024,183.5800018,187.1499939,92067000
40,19-04-2023,AAPL,166.7400055,167.6300049,168.1600037,165.5399933,165.8000031,47720200
41,19-04-2023,GOOG,105.0199966,105.0199966,105.7249985,103.8000031,104.2149963,16732000
42,19-04-2023,MSFT,286.1019287,288.4500122,289.0499878,284.5400085,285.9899902,17150300
43,19-04-2023,NFLX,323.1199951,323.1199951,325.75,316.1000061,324.2099915,22128300
44,19-04-2023,TSLA,180.5899963,180.5899963,183.5,177.6499939,179.1000061,125732700
45,20-04-2023,AAPL,165.7651978,166.6499939,167.8699951,165.5599976,166.0899963,52456400
46,20-04-2023,GOOG,105.9000015,105.9000015,106.8880005,104.6399994,104.6500015,22515300
47,20-04-2023,MSFT,283.7809143,286.1099854,289.0299988,285.0799866,285.25,23244400
48,20-04-2023,NFLX,325.3500061,325.3500061,331.4299927,318.3299866,320.3900146,9947800
49,20-04-2023,TSLA,162.9900055,162.9900055,169.6999969,160.5599976,166.1699982,210970800
50,21-04-2023,AAPL,164.1438599,165.0200043,166.4499969,164.4900055,165.0500031,58337300
51,21-04-2023,GOOG,105.9100037,105.9100037,106.6399994,105.4850006,106.0899963,22379000
52,21-04-2023,MSFT,283.4337769,285.7600098,286.269989,283.0599976,285.0100098,21676400
53,21-04-2023,NFLX,327.980011,327.980011,328.2900085,319.5,323,6348000
54,21-04-2023,TSLA,165.0800018,165.0800018,166,161.3200073,164.8000031,123539000
55,24-04-2023,AAPL,164.4522095,165.3300018,165.6000061,163.8899994,165,41949600
56,24-04-2023,GOOG,106.7799988,106.7799988,107.3199997,105.3600006,106.0500031,21410900
57,24-04-2023,MSFT,279.4762268,281.769989,284.9500122,278.7200012,282.0899963,26611000
58,24-04-2023,NFLX,329.019989,329.019989,334.6600037,326.75,330.2000122,5586600
59,24-04-2023,TSLA,162.5500031,162.5500031,165.6499939,158.6100006,164.6499939,140006600
60,25-04-2023,AAPL,162.9004822,163.7700043,166.3099976,163.7299957,165.1900024,48714100
61,25-04-2023,GOOG,104.6100006,104.6100006,107.4400024,104.5599976,106.6100006,31408100
62,25-04-2023,MSFT,273.177948,275.4200134,281.6000061,275.3699951,279.5100098,45772200
63,25-04-2023,NFLX,322.5499878,322.5499878,328.6600037,321.1000061,328.5,5426600
64,25-04-2023,TSLA,160.6699982,160.6699982,163.4700012,158.75,159.8200073,121999300
65,26-04-2023,AAPL,162.8905334,163.7599945,165.2799988,162.8000031,163.0599976,45498800
66,26-04-2023,GOOG,104.4499969,104.4499969,107.0199966,103.2699966,105.5599976,37068200
67,26-04-2023,MSFT,292.9655151,295.3699951,299.5700073,292.730011,296.7000122,64599200
68,26-04-2023,NFLX,321.1499939,321.1499939,325.8999939,320.4700012,321.3599854,4623200
69,26-04-2023,TSLA,153.75,153.75,160.6699982,153.1399994,160.2899933,153364100
70,27-04-2023,AAPL,167.5158539,168.4100037,168.5599976,165.1900024,165.1900024,64902300
71,27-04-2023,GOOG,108.3700027,108.3700027,109.1500015,104.4199982,105.2300034,38235200
72,27-04-2023,MSFT,302.3485413,304.8299866,305.2000122,295.25,295.9700012,46462600
73,27-04-2023,NFLX,325.8500061,325.8500061,327.4500122,317.4400024,324.2999878,5618800
74,27-04-2023,TSLA,160.1900024,160.1900024,160.4799957,152.3699951,152.6399994,127015200
75,28-04-2023,AAPL,168.7791138,169.6799927,169.8500061,167.8800049,168.4900055,55209200
76,28-04-2023,GOOG,108.2200012,108.2200012,108.2900009,106.0400009,107.8000031,23957900
77,28-04-2023,MSFT,304.7587585,307.2600098,308.9299927,303.3099976,304.0100098,36446700
78,28-04-2023,NFLX,329.9299927,329.9299927,330.8099976,324,325.2399902,4221900
79,28-04-2023,TSLA,164.3099976,164.3099976,165,157.3200073,160.8999939,122515800
80,01-05-2023,AAPL,168.6895905,169.5899963,170.4499969,168.6399994,169.2799988,52472900
81,01-05-2023,GOOG,107.7099991,107.7099991,108.6800003,107.5,107.7200012,20926300
82,01-05-2023,MSFT,303.0726013,305.5599976,308.6000061,305.1499939,306.9700012,21294100
83,01-05-2023,NFLX,324.1199951,324.1199951,331.230011,318.0899963,329.4400024,5341500
84,01-05-2023,TSLA,161.8300018,161.8300018,163.2799988,158.8300018,163.1699982,109015000
85,02-05-2023,AAPL,167.6451416,168.5399933,170.3500061,167.5399933,170.0899963,48425700
86,02-05-2023,GOOG,105.9800034,105.9800034,107.7300034,104.5,107.6600037,20343100
87,02-05-2023,MSFT,302.9238281,305.4100037,309.1799927,303.9100037,307.7600098,26404400
88,02-05-2023,NFLX,317.5499878,317.5499878,326.0700073,315.6199951,325,4318600
89,02-05-2023,TSLA,160.3099976,160.3099976,165.4900055,158.9299927,161.8800049,128259700
90,03-05-2023,AAPL,166.5609436,167.4499969,170.9199982,167.1600037,169.5,65136000
91,03-05-2023,GOOG,106.1200027,106.1200027,108.1299973,105.6200027,106.2200012,17116300
92,03-05-2023,MSFT,301.9220276,304.3999939,308.6099854,304.0899963,306.6199951,22360800
93,03-05-2023,NFLX,319.2999878,319.2999878,324.6199951,315.8500061,317.5499878,5064100
94,03-05-2023,TSLA,160.6100006,160.6100006,165,159.9100037,160.0099945,119728000
95,04-05-2023,AAPL,164.9097443,165.7899933,167.0399933,164.3099976,164.8899994,81235400
96,04-05-2023,GOOG,105.2099991,105.2099991,106.3000031,104.6999969,106.1600037,19780600
97,04-05-2023,MSFT,302.9238281,305.4100037,307.7600098,303.3999939,306.2399902,22519900
98,04-05-2023,NFLX,320.7799988,320.7799988,323.6099854,317.9500122,319.0100098,3879700
99,04-05-2023,TSLA,161.1999969,161.1999969,162.9499969,159.6499939,162.7100067,95108500
100,05-05-2023,AAPL,172.6484528,173.5700073,174.3000031,170.7599945,170.9799957,113316400
101,05-05-2023,GOOG,106.2149963,106.2149963,106.4400024,104.7389984,105.3199997,20705300
